relname,25%,50%,75%,count,max,mean,min,std
central_project_mapping,1.0,28.0,616.0,41.0,4535.0,466.1219512195122,1.0,883.6379687157506
central_release,27.75,115.5,849.75,432.0,53503.0,1277.388888888889,1.0,3982.440629872125
cl_main_code_location,81.5,707.0,4635.0,403.0,108552.0,5449.68982630273,1.0,12358.265969049293
code_location_bom_declared_component,7412.0,61997.0,442000.0,365.0,133320000.0,1300388.619178082,2.0,9418123.602419386
code_location_bom_match,13595.0,141172.0,1126776.0,401.0,20513110.0,1195083.4663341646,5.0,2609166.317538375
code_location_current_scan,67.75,704.5,3968.0,400.0,118034.0,5354.3025,1.0,12317.556402562956
code_location_status,271.5,2460.5,14937.5,404.0,434208.0,20894.534653465347,4.0,50763.62570288413
code_location_string_search_match,6496.0,84833.0,576763.5,75.0,10483991.0,1017072.8666666667,1.0,2153944.03673265
code_location_to_be_deleted,2.0,2.0,9.75,16.0,35639.0,2705.25,1.0,8980.148294989343
code_location_vuln_match,19.0,70.0,327.0,9.0,1736.0,311.6666666666667,4.0,554.8035688421625
component,3686.0,22313.5,151054.5,440.0,2767814.0,176620.17045454544,3.0,403964.56513001723
component_adjustment,5.0,64.5,2644.25,198.0,249283.0,7528.545454545455,1.0,25020.82182092286
component_comments,3.75,35.5,948.75,120.0,15476.0,1087.0416666666667,1.0,2619.9548985656643
component_custom_fields,5.5,1977.0,6707.0,19.0,36098730.0,2137645.210526316,1.0,8279357.124359527
component_ignored,14.0,131.0,781.5,186.0,51953.0,1686.215053763441,1.0,5626.561533355609
component_license,2865.0,20599.0,147847.5,402.0,2788836.0,173938.75621890547,1.0,412381.88824482117
component_match_types,3101.5,22165.0,163041.5,399.0,3042168.0,190435.47368421053,1.0,450788.14061766467
component_matches,1853.25,32119.5,275942.5,376.0,12930639.0,543316.4414893617,1.0,1518904.1998380795
component_metadata,839.5,4388.5,11442.0,42.0,28038.0,7085.619047619048,25.0,7681.194666838762
component_policies,119.5,1343.5,18150.0,226.0,1917149.0,40903.97345132743,1.0,154264.45272873814
component_search_dashboard,1296.0,4927.0,13013.0,473.0,130237.0,10968.564482029598,1.0,16235.040582017422
component_usages,2731.0,20816.0,150802.5,399.0,2788810.0,175220.8320802005,1.0,413538.1658730517
